"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 강남구청",서울특별시 강남구 논현로115길 55 (논현동),서울특별시 강남구 논현동 170-12,생활방범,1,200,360도전방면,30,2002-11,02-3423-6963,37.507970,127.028573,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 논현로115길 31 (논현동),서울특별시 강남구 논현동 189-13,생활방범,1,200,360도전방면,30,2002-11,02-3423-6963,37.508284,127.030599,2017-11-13
"서울특별시 강남구청","서울특별시 강남구 논현로111길 7 (논현동, 영동빌라맨션)",서울특별시 강남구 논현동 192-12,생활방범,1,200,360도전방면,30,2010-09,02-3423-6963,37.507595,127.032601,2017-11-13
"서울특별시 강남구청","서울특별시 강남구 강남대로112길 41 (논현동, 거평프리젠아파트)",서울특별시 강남구 논현동 196,생활방범,1,200,360도전방면,30,2004-04,02-3423-6963,37.506134,127.027567,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 강남대로114길 22 (논현동),서울특별시 강남구 논현동 197,생활방범,1,200,360도전방면,30,2010-09,02-3423-6963,37.506042,127.025989,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 강남대로 478 (논현동),서울특별시 강남구 논현동 200,생활방범,1,200,360도전방면,30,2004-04,02-3423-6963,37.505121,127.024504,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 강남대로120길 33 (논현동),서울특별시 강남구 논현동 167-15 (논현초 담장),어린이보호,1,200,360도전방면,30,2011-04,02-3423-6963,37.507973,127.025688,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 논현동 162-11 (논현까치공원 내),서울특별시 강남구 논현동 162-11 (논현까치공원 내),생활방범,1,200,360도전방면,30,2011-04,02-3423-6963,37.508515,127.024952,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 강남대로124길 65 (논현동),서울특별시 강남구 논현동 137-16 (성모어린이집 앞),어린이보호,1,200,360도전방면,30,2011-04,02-3423-6963,37.510872,127.026973,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 도산대로26길 34-16 (논현동),서울특별시 강남구 논현동 31-9,생활방범,4,200,360도전방면,30,2011-12,02-3423-6963,37.516772,127.027246,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 강남대로116길 26 (논현동),서울특별시 강남구 논현동 184-13,생활방범,5,200,360도전방면,30,2011-12,02-3423-6963,37.506608,127.026270,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 학동로6길 48 (논현동),서울특별시 강남구 논현동 159-11,어린이보호,4,200,360도전방면,30,2011-12,02-3423-6963,37.509341,127.026334,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 학동로19길 26 (논현동),서울특별시 강남구 논현동 39,생활방범,4,200,360도전방면,30,2012-11,02-3423-6963,37.514816,127.027049,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 학동로19길 26 (논현동),서울특별시 강남구 논현동 39,생활방범,1,41,360도전방면,30,2009-02,02-3423-6963,37.514789,127.026901,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 학동로 426 (삼성동),서울특별시 강남구 삼성동 16-1 (강남구청직장어린이집 앞),어린이보호,3,200,360도전방면,30,2012-12,02-3423-6963,37.517255,127.048211,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 봉은사로74길 11-5 (삼성동),서울특별시 강남구 삼성동 117-12,생활방범,3,200,360도전방면,30,2014-01,02-3423-6963,37.512094,127.052064,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 삼성동 111-116 (롯데캐슬프리미어 103동 옆),서울특별시 강남구 삼성동 111-116 (롯데캐슬프리미어 103동 옆),생활방범,3,200,360도전방면,30,2014-01,02-3423-6963,37.515637,127.044335,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 봉은사로55길 44 (삼성동),서울특별시 강남구 삼성동 33-9,생활방범,4,200,360도전방면,30,2014-09,02-3423-6963,37.513324,127.043699,2017-11-13
"서울특별시 강남구청","서울특별시 강남구 학동로68길 30 (삼성동, 삼성동중앙하이츠빌리지)",서울특별시 강남구 삼성동 14 (삼성은행나무공원 내),생활방범,3,200,360도전방면,30,2014-09,02-3423-6963,37.516604,127.045979,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 테헤란로79길 33 (삼성동),서울특별시 강남구 삼성동 129-4 (세븐일레븐편의점),생활방범,5,200,360도전방면,30,2014-09,02-3423-6963,37.509030,127.054423,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 봉은사로74길 35 (삼성동),서울특별시 강남구 삼성동 121-20,생활방범,4,200,360도전방면,30,2014-09,02-3423-6963,37.510396,127.053065,2017-11-13
"서울특별시 강남구청","서울특별시 강남구 학동로 405 (청담동, 청담래미안아파트)",서울특별시 강남구 청담동 42 (삼성래미안A 102동 담장),생활방범,1,41,360도전방면,30,2004-08,02-3423-6963,37.518041,127.041961,2017-11-13
"서울특별시 강남구청",서울특별시 강남구 삼성로147길 18 (청담동),서울특별시 강남구 청담동 23-11 (영동고 담장),생활방범,3,200,360도전방면,30,2004-08,02-3423-6963,37.519472,127.041375,2017-11-13
"서울특별시 강남구청","서울특별시 강남구 선릉로132길 42 (청담동, 현대빌라아파트)",서울특별시 강남구 청담동 43-6,어린이보호,1,41,360도전방면,30,2004-08,02-3423-6963,37.518549,127.044849,2017-11-13
